time,crd,vel,ekin,ene_0,ene_1,epot,etotal,coff_0,coff_1,prob,random,state
36.000,-4.47800001,0.01450000,0.21024998,-2.00002496,2.00002496,-2.00002496,-1.78977498,1.00000000,0.00000000,0.00000000,0.61289399,0
37.000,-4.46350001,0.01450000,0.21024998,-2.00002496,2.00002496,-2.00002496,-1.78977498,1.00000000,0.00000000,0.00000000,0.01687240,0
38.000,-4.44900001,0.01450000,0.21024998,-2.00002496,2.00002496,-2.00002496,-1.78977498,1.00000000,0.00000000,0.00000000,0.44722612,0
39.000,-4.43450001,0.01450000,0.21024998,-2.00002496,2.00002496,-2.00002496,-1.78977498,1.00000000,0.00000000,0.00000000,0.91134069,0
40.000,-4.42000001,0.01450000,0.21024997,-2.00002496,2.00002496,-2.00002496,-1.78977498,1.00000000,0.00000000,0.00000000,0.26359277,0
41.000,-4.40550002,0.01450000,0.21024997,-2.00002496,2.00002496,-2.00002496,-1.78977498,1.00000000,0.00000000,0.00000000,0.06091396,0
42.000,-4.39100002,0.01450000,0.21024997,-2.00002495,2.00002495,-2.00002495,-1.78977498,1.00000000,0.00000000,0.00000000,0.67605667,0
43.000,-4.37650002,0.01450000,0.21024997,-2.00002495,2.00002495,-2.00002495,-1.78977498,1.00000000,0.00000000,0.00000000,0.33308149,0
44.000,-4.36200002,0.01450000,0.21024997,-2.00002495,2.00002495,-2.00002495,-1.78977498,1.00000000,0.00000000,0.00000000,0.02211959,0
45.000,-4.34750002,0.01450000,0.21024997,-2.00002495,2.00002495,-2.00002495,-1.78977498,1.00000000,0.00000000,0.00000000,0.45950224,0
46.000,-4.33300002,0.01450000,0.21024997,-2.00002495,2.00002495,-2.00002495,-1.78977498,1.00000000,0.00000000,0.00000000,0.36704742,0
47.000,-4.31850002,0.01450000,0.21024997,-2.00002495,2.00002495,-2.00002495,-1.78977498,1.00000000,0.00000000,0.00000000,0.74114098,0
48.000,-4.30400002,0.01450000,0.21024997,-2.00002495,2.00002495,-2.00002495,-1.78977498,1.00000000,0.00000000,0.00000000,0.05755339,0
49.000,-4.28950002,0.01450000,0.21024996,-2.00002495,2.00002495,-2.00002495,-1.78977498,1.00000000,0.00000000,0.00000000,0.87470073,0
50.000,-4.27500003,0.01450000,0.21024996,-2.00002495,2.00002495,-2.00002495,-1.78977498,1.00000000,0.00000000,0.00000000,0.60396135,0
51.000,-4.26050003,0.01450000,0.21024996,-2.00002494,2.00002494,-2.00002494,-1.78977498,1.00000000,0.00000000,0.00000000,0.15533875,0
52.000,-4.24600003,0.01450000,0.21024996,-2.00002494,2.00002494,-2.00002494,-1.78977498,1.00000000,0.00000000,0.00000000,0.37880149,0
53.000,-4.23150003,0.01450000,0.21024996,-2.00002494,2.00002494,-2.00002494,-1.78977498,1.00000000,0.00000000,0.00000000,0.89146143,0
54.000,-4.21700003,0.01450000,0.21024996,-2.00002494,2.00002494,-2.00002494,-1.78977498,1.00000000,0.00000000,0.00000000,0.43562683,0
55.000,-4.20250003,0.01450000,0.21024996,-2.00002494,2.00002494,-2.00002494,-1.78977498,1.00000000,0.00000000,0.00000000,0.76422672,0
56.000,-4.18800003,0.01450000,0.21024996,-2.00002494,2.00002494,-2.00002494,-1.78977498,1.00000000,0.00000000,0.00000000,0.09086577,0
57.000,-4.17350004,0.01450000,0.21024995,-2.00002494,2.00002494,-2.00002494,-1.78977498,1.00000000,0.00000000,0.00000000,0.35908142,0
58.000,-4.15900004,0.01450000,0.21024995,-2.00002493,2.00002493,-2.00002493,-1.78977498,1.00000000,0.00000000,0.00000000,0.31700980,0
59.000,-4.14450004,0.01450000,0.21024995,-2.00002493,2.00002493,-2.00002493,-1.78977498,1.00000000,0.00000000,0.00000000,0.23105887,0
60.000,-4.13000004,0.01450000,0.21024995,-2.00002493,2.00002493,-2.00002493,-1.78977498,1.00000000,0.00000000,0.00000000,0.26759821,0
61.000,-4.11550004,0.01450000,0.21024995,-2.00002493,2.00002493,-2.00002493,-1.78977498,1.00000000,0.00000000,0.00000000,0.48842480,0
62.000,-4.10100004,0.01450000,0.21024995,-2.00002493,2.00002493,-2.00002493,-1.78977498,1.00000000,0.00000000,0.00000000,0.90325358,0
63.000,-4.08650005,0.01450000,0.21024994,-2.00002493,2.00002493,-2.00002493,-1.78977498,1.00000000,0.00000000,0.00000000,0.43705848,0
64.000,-4.07200005,0.01450000,0.21024994,-2.00002492,2.00002492,-2.00002492,-1.78977498,1.00000000,0.00000000,0.00000000,0.41925960,0
65.000,-4.05750005,0.01450000,0.21024994,-2.00002492,2.00002492,-2.00002492,-1.78977498,1.00000000,0.00000000,0.00000000,0.88811751,0
66.000,-4.04300005,0.01450000,0.21024994,-2.00002492,2.00002492,-2.00002492,-1.78977498,1.00000000,0.00000000,0.00000000,0.99507301,0
67.000,-4.02850005,0.01450000,0.21024994,-2.00002492,2.00002492,-2.00002492,-1.78977498,1.00000000,0.00000000,0.00000000,0.97482677,0
68.000,-4.01400006,0.01450000,0.21024994,-2.00002492,2.00002492,-2.00002492,-1.78977498,1.00000000,0.00000000,0.00000000,0.81850725,0
69.000,-3.99950006,0.01450000,0.21024993,-2.00002491,2.00002491,-2.00002491,-1.78977498,1.00000000,0.00000000,0.00000000,0.47274607,0
70.000,-3.98500006,0.01450000,0.21024993,-2.00002491,2.00002491,-2.00002491,-1.78977498,1.00000000,0.00000000,0.00000000,0.16806322,0
71.000,-3.97050006,0.01450000,0.21024993,-2.00002491,2.00002491,-2.00002491,-1.78977498,1.00000000,0.00000000,0.00000000,0.62755255,0
72.000,-3.95600007,0.01450000,0.21024993,-2.00002491,2.00002491,-2.00002491,-1.78977498,1.00000000,0.00000000,0.00000000,0.28876519,0
73.000,-3.94150007,0.01450000,0.21024993,-2.00002491,2.00002491,-2.00002491,-1.78977498,1.00000000,0.00000000,0.00000000,0.06352305,0
74.000,-3.92700007,0.01450000,0.21024992,-2.00002490,2.00002490,-2.00002490,-1.78977498,1.00000000,0.00000000,0.00000000,0.74644394,0
75.000,-3.91250007,0.01450000,0.21024992,-2.00002490,2.00002490,-2.00002490,-1.78977498,1.00000000,0.00000000,0.00000000,0.87019231,0
76.000,-3.89800008,0.01450000,0.21024992,-2.00002490,2.00002490,-2.00002490,-1.78977498,1.00000000,0.00000000,0.00000000,0.64104946,0
77.000,-3.88350008,0.01450000,0.21024992,-2.00002490,2.00002490,-2.00002490,-1.78977498,1.00000000,0.00000000,0.00000000,0.80070709,0
78.000,-3.86900008,0.01450000,0.21024991,-2.00002490,2.00002490,-2.00002490,-1.78977498,1.00000000,0.00000000,0.00000000,0.66102778,0
79.000,-3.85450009,0.01450000,0.21024991,-2.00002489,2.00002489,-2.00002489,-1.78977498,1.00000000,0.00000000,0.00000000,0.12421184,0
80.000,-3.84000009,0.01450000,0.21024991,-2.00002489,2.00002489,-2.00002489,-1.78977498,1.00000000,0.00000000,0.00000000,0.33830990,0
81.000,-3.82550009,0.01450000,0.21024991,-2.00002489,2.00002489,-2.00002489,-1.78977498,1.00000000,0.00000000,0.00000000,0.37969424,0
82.000,-3.81100009,0.01450000,0.21024990,-2.00002488,2.00002488,-2.00002488,-1.78977498,1.00000000,0.00000000,0.00000000,0.39417286,0
83.000,-3.79650010,0.01450000,0.21024990,-2.00002488,2.00002488,-2.00002488,-1.78977498,1.00000000,0.00000000,0.00000000,0.85237815,0
84.000,-3.78200010,0.01450000,0.21024990,-2.00002488,2.00002488,-2.00002488,-1.78977498,1.00000000,0.00000000,0.00000000,0.56837225,0
85.000,-3.76750010,0.01450000,0.21024990,-2.00002488,2.00002488,-2.00002488,-1.78977498,1.00000000,0.00000000,0.00000000,0.83333154,0
86.000,-3.75300011,0.01450000,0.21024989,-2.00002487,2.00002487,-2.00002487,-1.78977498,1.00000000,0.00000000,0.00000000,0.13071931,0
87.000,-3.73850011,0.01450000,0.21024989,-2.00002487,2.00002487,-2.00002487,-1.78977498,1.00000000,0.00000000,0.00000000,0.60594091,0
88.000,-3.72400012,0.01450000,0.21024989,-2.00002487,2.00002487,-2.00002487,-1.78977498,1.00000000,0.00000000,0.00000000,0.16748502,0
89.000,-3.70950012,0.01450000,0.21024988,-2.00002486,2.00002486,-2.00002486,-1.78977498,1.00000000,0.00000000,0.00000000,0.64144203,0
90.000,-3.69500012,0.01450000,0.21024988,-2.00002486,2.00002486,-2.00002486,-1.78977498,1.00000000,0.00000000,0.00000000,0.18313069,0
91.000,-3.68050013,0.01450000,0.21024988,-2.00002486,2.00002486,-2.00002486,-1.78977498,1.00000000,0.00000000,0.00000000,0.74693158,0
92.000,-3.66600013,0.01450000,0.21024988,-2.00002485,2.00002485,-2.00002485,-1.78977498,1.00000000,0.00000000,0.00000000,0.93376766,0
93.000,-3.65150014,0.01450000,0.21024987,-2.00002485,2.00002485,-2.00002485,-1.78977498,1.00000000,0.00000000,0.00000000,0.59610272,0
94.000,-3.63700014,0.01450000,0.21024987,-2.00002485,2.00002485,-2.00002485,-1.78977498,1.00000000,0.00000000,0.00000000,0.09886274,0
95.000,-3.62250015,0.01450000,0.21024987,-2.00002484,2.00002484,-2.00002484,-1.78977498,1.00000000,0.00000000,0.00000000,0.55269710,0
96.000,-3.60800015,0.01450000,0.21024986,-2.00002484,2.00002484,-2.00002484,-1.78977498,1.00000000,0.00000000,0.00000000,0.70482477,0
97.000,-3.59350016,0.01450000,0.21024986,-2.00002484,2.00002484,-2.00002484,-1.78977498,1.00000000,0.00000000,0.00000000,0.52353518,0
98.000,-3.57900016,0.01449999,0.21024985,-2.00002483,2.00002483,-2.00002483,-1.78977498,1.00000000,0.00000000,0.00000000,0.34793763,0
99.000,-3.56450017,0.01449999,0.21024985,-2.00002483,2.00002483,-2.00002483,-1.78977498,1.00000000,0.00000000,0.00000000,0.65573121,0
